,LINK_ID,Source,Target,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,C-ITS,LENGTH,UPDATEDATE,REMARK,HIST_TYPE,HISTREMARK
92,4060004300,4060001600,4060002000,2,106,000,1132,일주동로,0,0,0,60,0,0,0,0,119.578782386668,20230519,,,
108,4050567300,4050207400,4050207600,1,107,000,-,해맞이해안로,0,0,0,50,0,0,0,0,1345.80115288943,20230519,,,
145,4050554500,4050199500,4050199700,1,107,000,-,다랑쉬북로,0,0,0,50,0,0,0,0,376.124453201134,20230519,,,
463,4060260400,4060151500,4060083200,1,107,000,-,태위로,0,0,0,50,0,0,0,0,185.657975325916,20230519,,,
478,4060445100,4060170700,4060170600,1,107,000,-,표선당포로,0,0,0,30,0,0,0,0,167.85914612379,20230519,,,
635,4050206003,4050067001,4050067002,1,107,000,-,서해안로,0,0,0,40,0,0,0,0,82.855375905433,20230519,,,
651,4060300500,4060107900,4060107600,1,107,000,-,산방로,0,0,0,30,0,0,0,0,72.420595651004,20230519,,,
653,4060430800,4060136600,4060136300,1,106,000,1136,한신로,0,0,0,30,0,0,0,0,93.311510269273,20230519,,,
678,4050018601,4050009000,4050009001,2,106,000,1132,일주서로,0,0,0,60,0,0,0,0,143.724348554535,20230519,,,
679,4050596900,4050185400,4050185600,2,107,000,-,일주동로,0,0,0,60,0,0,0,0,53.772678824703,20230519,,,
731,4060406300,4060150700,4060153000,1,107,000,-,태신삼석로,0,0,0,50,0,0,0,0,2976.74485564659,20230519,,,
732,4060412500,4060144900,4060143700,1,107,000,-,남조로,0,0,0,50,0,0,0,0,860.705003229512,20230519,,,
734,4060446900,4060133100,4060130000,1,107,000,-,서성로651번길,0,0,0,50,0,0,0,0,1615.85649093033,20230519,,,
743,4060521200,4060182800,4060184100,1,107,000,-,고성동서로,0,0,0,30,0,0,0,0,501.169123110328,20230519,,,
857,4050535500,4050155100,4050155200,1,107,000,-,신용로,0,0,0,40,0,0,0,0,63.937372536862,20230519,,,
898,4050180404,4050058902,4050058901,3,107,000,-,서사로,0,0,0,60,0,0,0,0,124.838845748451,20230519,,,
900,4050180403,4050060900,4050058902,3,107,000,-,서사로,0,0,0,60,0,0,0,0,105.746304519354,20230519,,,
1104,4050181802,4050059401,4050060100,1,107,000,-,용담로,0,0,0,50,0,0,0,0,104.171373100628,20230519,,,
1124,4050429700,4050158000,4050157800,1,106,000,1135,평화로,1,0,1,40,0,0,0,0,384.953371830543,20230519,,,
1165,4060394700,4060104800,4060104600,1,107,000,-,에듀시티로,0,0,0,30,0,0,0,0,264.603085767158,20230519,,,
1167,4060495500,4060159700,4060160000,1,107,000,-,성읍정의현로122번길,0,0,0,30,0,0,0,0,53.387945096845,20230519,,,
1701,4050257700,4050079102,4050103800,1,107,000,-,화삼북로,0,0,0,30,0,0,0,0,63.49988701735,20230519,,,
1769,4060285900,4060100600,4060100300,2,107,000,-,상모로273번길,0,0,0,50,0,0,0,0,556.329720185885,20230519,,,
1773,4050597700,4050177500,4050177300,1,107,000,-,신북로,0,0,0,30,0,0,0,0,223.260969358665,20230519,,,
1801,4060285800,4060100300,4060100600,2,107,000,-,상모로273번길,0,0,0,50,0,0,0,0,575.181786827527,20230519,,,
1806,4050352300,4050098900,4050099100,1,107,000,-,아란4길,0,0,0,30,0,0,0,0,575.772190244762,20230519,,,
2009,4060522900,4060182100,4060182000,1,107,000,-,고성오조로,0,0,0,30,0,0,0,0,107.845081558725,20230519,,,
2148,4060045600,4060039400,4060037400,1,107,000,-,신동로67번길,0,0,0,30,0,0,0,0,86.26830145186,20230519,,,
2184,4050617801,4050209101,4050056400,2,107,000,-,-,0,0,0,70,0,0,0,0,181.442927197112,20230519,도로명없음,,
2265,4050261500,4050105200,4050105400,1,107,000,-,진서로,0,0,0,50,0,0,0,0,113.316288587146,20230519,,,
2281,4050293500,4050082800,4050167600,1,107,000,-,하귀9길,0,0,0,30,0,0,0,0,357.12788672413,20230519,,,
2361,4060254300,4060081800,4060128900,1,107,000,-,신례로,0,0,0,50,0,0,0,0,902.400387444444,20230519,,,
