,Id,NODE_TYPE,NODE_NAME,TURN_P,UPDATEDATE,REMARK,HIST_TYPE,HISTREMARK,latitude,longitude
105,4060029000,101,서호동1481-1,0,20230519,,,,33.25467814707047,126.5127347346484
7708,4060187801,101,디아넥스,1,20230519,,,,33.3024873661656,126.39331824294078
8690,4060014200,101,대기정,1,20230519,,,,33.2404562739723,126.42782476383329
9494,4050113000,102,함덕리828-3,0,20230519,,,,33.52942592719583,126.66792100831753
9495,4050113700,102,북촌리187-2,0,20230519,,,,33.54334954146162,126.70271792905301
9496,4050113900,102,북촌리2688,0,20230519,,,,33.55002376661831,126.69320620731861
9501,4060000800,101,대천동사무소,1,20230519,,,,33.25115167041846,126.47803908071752
9502,4060003403,101,나나다육이,1,20230519,,,,33.25962426766102,126.59540181065705
9503,4060004001,101,신효동893-1,0,20230519,,,,33.26116974199154,126.61229309537157
9504,4060004201,101,세훈빌리지,0,20230519,,,,33.258049186504984,126.42824562364277
9505,4060073300,101,하원동1877,1,20230519,,,,33.26342101570304,126.46710231534338
9506,4060073400,101,도순동1368,0,20230519,,,,33.25617183962819,126.47432673540348
9507,4060073900,101,법환동1654,0,20230519,,,,33.23660747588405,126.51402343485147
9508,4060074300,101,강정동4384-3,0,20230519,,,,33.236257363515506,126.47565173166737
9509,4060076200,101,엠스테이제주호텔,1,20230519,,,,33.246856539127634,126.56110683376158
9672,4050000503,101,노형동산17-3,0,20230519,,,,33.41828117736001,126.48995924541545
9673,4050000600,101,교래입구교차로,0,20230519,,,,33.41910314773771,126.61669829257661
9674,4050129700,101,청수리159-4,0,20230519,,,,33.30482457146785,126.25849982886706
9675,4050130300,101,창성세차장,0,20230519,,,,33.409415533607515,126.25913909918388
9686,4050164300,104,미수2교서측,0,20230519,,,,33.483660579951085,126.40509601817844
9687,4050179900,101,우리주유소,0,20230519,,,,33.54383136010732,126.65798399267106
9688,4060010602,104,제4산록교,0,20230519,,,,33.29011606409899,126.48900571712379
9689,4060011000,101,돈내코교,0,20230519,,,,33.29912764711269,126.58938857365361
9690,4060014800,101,대포마을복지회관앞,0,20230519,,,,33.24276390414487,126.43174521795461
9691,4060015200,101,유림갈비,0,20230519,,,,33.24291843463507,126.5651173990043
9692,4060016001,101,서홍동648-13,0,20230519,,,,33.2437871765954,126.55590821033297
9693,4060091500,101,무릉2리입구교차로,0,20230519,,,,33.28598942844094,126.22478276168894
9699,4060144400,101,남원리91-10,0,20230519,,,,33.278024921502414,126.7185547455068
9700,4060167800,101,표선리2954,0,20230519,,,,33.32658969904518,126.83621175814592
9701,4060171300,101,삼달보건진료소,0,20230519,,,,33.37449475440524,126.84691204908817
9702,4060173200,101,난산리1505-5,0,20230519,,,,33.40497981519895,126.86536023494268
9703,4060173900,101,수산2리입구교차로,0,20230519,,,,33.43865389836367,126.87315632412039
11371,4050037500,101,방천1교,0,20230519,,,,33.48926527274539,126.55116707334983
11539,4050001102,101,연동산100-1,1,20230519,,,,33.4352071786416,126.4897262620668
11540,4050001800,101,아라일동산53-1,1,20230519,,,,33.43001064779264,126.55854247989889
11541,4050002203,101,영평동2273,0,20230519,,,,33.44439367410556,126.572116138726
11542,4050006705,101,봉개교차로,1,20230519,,,,33.48900926255461,126.59825645647351
11543,4050008200,101,제주미주호텔,1,20230519,,,,33.491885397810705,126.49670210506174
11544,4050008900,101,반딧불이작은도서관,1,20230519,,,,33.49370111609237,126.4947540108179
11545,4050013500,101,CU제주시민점,0,20230519,,,,33.50781167906663,126.52434966797797
11546,4050013900,101,국립박물관앞교차로,1,20230519,,,,33.51157864768522,126.5475637292662
11547,4050014100,101,국립제주박물관,1,20230519,,,,33.51198346092516,126.54865185532692
11548,4050016900,103,속성변화점,0,20230519,,,,33.448649147160396,126.62363494920989
11549,4050018901,101,연동1546,0,20230519,,,,33.476320951475635,126.48871162959183
11550,4050019600,101,제주복음교회,0,20230519,,,,33.47764883511734,126.48082954318004
11551,4050020000,101,제주감귤농협노연로지점,0,20230519,,,,33.478378678418984,126.49064629180266
